Tree	Node A-upos	Node B-upos	Node C-upos	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node
ADP <case ADJ <amod NOUN	ADP	ADJ	NOUN	2732	10228.5	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=ADJ]; C -[case]-> A; C -[amod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
ADP <case DET <det NOUN	ADP	DET	NOUN	1052	3938.6	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=DET]; C -[case]-> A; C -[det]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DDET%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bdet%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
ADP <case NOUN >nmod NOUN	ADP	NOUN	NOUN	640	2396.1	ABC	pattern {B [upos=NOUN]; A [upos=ADP]; C [upos=NOUN]; B -[case]-> A; B -[nmod]-> C; B >> A; B << C} without {B -> X0} without {A -> X1} without {C -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	NOUN
ADJ <amod ADJ <amod NOUN	ADJ	ADJ	NOUN	572	2141.5	ABC	pattern {C [upos=NOUN]; A [upos=ADJ]; B [upos=ADJ]; C -[amod]-> A; C -[amod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bamod%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
DET <det ADJ <amod NOUN	DET	ADJ	NOUN	386	1445.2	ABC	pattern {C [upos=NOUN]; A [upos=DET]; B [upos=ADJ]; C -[det]-> A; C -[amod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DDET%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
ADP <case NUM <nummod NOUN	ADP	NUM	NOUN	375	1404.0	ABC	pattern {C [upos=NOUN]; A [upos=ADP]; B [upos=NUM]; C -[case]-> A; C -[nummod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADP%5D%3B%20B%20%5Bupos%3DNUM%5D%3B%20C%20-%5Bcase%5D-%3E%20A%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
NOUN >nmod (ADJ <amod NOUN)	NOUN	ADJ	NOUN	358	1340.3	ABC	pattern {A [upos=NOUN]; C [upos=NOUN]; B [upos=ADJ]; A -[nmod]-> C; C -[amod]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
NOUN >nmod (ADP <case NOUN)	NOUN	ADP	NOUN	357	1336.6	ABC	pattern {A [upos=NOUN]; C [upos=NOUN]; B [upos=ADP]; A -[nmod]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DADP%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
CCONJ <cc ADJ <amod NOUN	CCONJ	ADJ	NOUN	356	1332.8	ABC	pattern {C [upos=NOUN]; A [upos=CCONJ]; B [upos=ADJ]; C -[cc]-> A; C -[amod]-> B; C >> A; C >> B} without {C -> X0} without {A -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BC%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DCCONJ%5D%3B%20B%20%5Bupos%3DADJ%5D%3B%20C%20-%5Bcc%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
NOUN >conj (CCONJ <cc NOUN)	NOUN	CCONJ	NOUN	274	1025.8	ABC	pattern {A [upos=NOUN]; C [upos=NOUN]; B [upos=CCONJ]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bupos%3DNOUN%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20%5Bupos%3DCCONJ%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	NOUN
ADJ <amod NOUN >nmod NOUN	ADJ	NOUN	NOUN	253	947.2	ABC	pattern {B [upos=NOUN]; A [upos=ADJ]; C [upos=NOUN]; B -[amod]-> A; B -[nmod]-> C; B >> A; B << C} without {B -> X0} without {A -> X1} without {C -> X2}	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bupos%3DNOUN%5D%3B%20A%20%5Bupos%3DADJ%5D%3B%20C%20%5Bupos%3DNOUN%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20-%5Bnmod%5D-%3E%20C%3B%20B%20%3E%3E%20A%3B%20B%20%3C%3C%20C%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	NOUN
